name,label,author_id,type
李庆瀛,大连理工大学精密与特种加工教育部重点实验室,374,person
王洪青,大连理工大学精密与特种加工教育部重点实验室,375,person
聂黎明,广西民族大学数学与计算机科学学院,376,person
周永权,广西民族大学数学与计算机科学学院,377,person
张学习,广东工业大学自动化学院,378,person
何启承,广东工业大学自动化学院,379,person
张鹏飞,西安理工大学机械与精密仪器工程学院,380,person
李东洁,哈尔滨理工大学自动化学院,381,person
尤波,哈尔滨理工大学自动化学院,382,person
王宝刚,哈尔滨理工大学自动化学院,383,person
王俭,苏州科技大学电子与信息工程学院,384,person
许波,湖南大学计算机与通信学院,385,person
李智勇,湖南大学计算机与通信学院,386,person
王永,湖南大学计算机与通信学院,387,person
朱从民,西安理工大学机械与精密仪器工程学院,388,person
黄玉美,西安理工大学机械与精密仪器工程学院,389,person
上官望义,西安理工大学机械与精密仪器工程学院,390,person
石杏喜,南京理工大学,391,person
赵春霞,南京理工大学,392,person
郭剑辉,南京理工大学,393,person
程思微,国防科技大学机器人实验室,394,person
梁明,江苏食品职业技术学院,395,person
徐守江,江苏食品职业技术学院,396,person
叶晔,安徽工业大学机械工程学院,397,person
岑豫皖,安徽工业大学机械工程学院,398,person
谢能刚,安徽工业大学机械工程学院,399,person
万树平,江西财经大学信息管理学院,400,person
刘毅华,浙江大学宁波理工学院,401,person
褚如元,镇海炼油化工股份有限公司下属检修安装公司,402,person
晏鹏宇,西北工业大学管理学院,403,person
车阿大,西北工业大学管理学院,404,person
杨乃定,西北工业大学管理学院,405,person
钟娜,西北工业大学管理学院,406,person
张兆印,黑龙江大学计算机科学技术学院,407,person
包芳,江南大学信息工程学院,408,person
潘永惠,江南大学信息工程学院,409,person
须文波,江南大学信息工程学院,410,person
陈志国,江南大学信息工程学院,411,person
陈建荣,广西民族大学数学与计算机科学学院,412,person
石守东,西北工业大学航海学院,413,person
徐德民,西北工业大学航海学院,414,person
赵立兴,燕山大学西校区电院工业计算机控制工程河北省重点实验室,415,person
王双霞,燕山大学西校区电院工业计算机控制工程河北省重点实验室,416,person
王洪瑞,燕山大学西校区电院工业计算机控制工程河北省重点实验室,417,person
李华忠,深圳信息职业技术学院软件工程系,418,person
游维,湘潭大学信息工程学院,419,person
李枚毅,湘潭大学信息工程学院,420,person
吴琼,湘潭大学信息工程学院,421,person
胡剑,湘潭大学信息工程学院,422,person
王杰,郑州大学电气工程学院,423,person
周永年,郑州大学电气工程学院,424,person
刘金锋,郑州大学电气工程学院,425,person
李响,中科院沈阳自动化研究所机器人学国家重点实验室,426,person
王越超,中国科学院研究生院,427,person
陈建平,广东工业大学自动化学院,428,person
杨宜民,肇庆学院计算机科学与软件学院,429,person
陈应松,成都电子机械高等专科学校机电系,430,person
肖世德,成都电子机械高等专科学校机电系,431,person
王文玺,成都电子机械高等专科学校机电系,432,person
林静,成都电子机械高等专科学校机电系,433,person
张卫华,成都电子机械高等专科学校机电系,434,person
罗三定,中南大学信息科学与工程学院,435,person
刘薇,中南大学信息科学与工程学院,436,person
袁铸,河南科技大学电子信息工程学院,437,person
阎保定,河南科技大学电子信息工程学院,438,person
梁丁宏,西安理工大学机械与精密仪器工程学院,439,person
张彤,华南理工大学计算机科学与工程学院,440,person
肖南峰,广东警官学院计算机系,441,person
段爱玲,河南工业大学信息科学与工程学院,442,person
